numerai_ticker,ticker_cleaned,name,market_country,trends_us
MRW.L,MRW,wm morrison supermarkets,gb,
NEX.L,NEX,national express group,gb,
BT-A.L,BT,bt group,gb,
CCL.L,CCL,carnival,gb,
MKS.L,MKS,marks spencer group,gb,
KGF.L,KGF,kingfisher,gb,
STAN.L,STAN,standard chartered,gb,
HSBA.L,HSBA,hsbc holdings,gb,
RIO.L,RIO,rio tinto group,gb,
BARC.L,BARC,barclays,gb,
DLG.L,DLG,direct line insurance group,gb,
EMG.L,EMG,man group,gb,
BKG.L,BKG,berkeley group holdings,gb,
IGG.L,IGG,ig group holdings,gb,
MCRO.L,MCRO,micro focus international,gb,
VSVS.L,VSVS,vesuvius,gb,
WPP.L,WPP,wpp,gb,
ESNT.L,ESNT,essentra,gb,
CRST.L,CRST,crest nicholson holdings,gb,
NG.L,NG,national grid,gb,
888.L,888,888 holdings,gb,
PFC.L,PFC,petrofac,gb,
HIK.L,HIK,hikma pharmaceuticals,gb,
RMG.L,RMG,royal mail,gb,
ARW.L,ARW,arrow global group,gb,
STCK.L,STCK,stock spirits group,gb,
JUST.L,JUST,just group,gb,
BVIC.L,BVIC,britvic,gb,
LRE.L,LRE,lancashire holdings,gb,
AO.L,AO,ao world,gb,
